,Features,SHAP values,Average abundance
0,Mean.S,0.01648320302523303,0.03605871167661588
1,StD.H,0.012354643441830482,-0.023195580249334977
2,Mean.H,0.011834405061246969,-0.02478537066166063
3,StD.Red,0.010897311886472907,-0.01355698682898561
4,StD.S,0.010498499076134246,0.0046745550094365595
5,StD.V,0.01047584995988048,-0.013525618971516912
6,StD.Green,0.009978468675274632,-0.01801619463686978
7,X.MaxR,0.009381535816533249,0.05368093372559986
8,StD.Blue,0.008857441541692018,-0.013268112460879925
9,X.Feret,0.008811050323743134,0.05365424309410925
10,Mean.Blue,0.008244166993884385,-0.03879658765782835
11,Sqrt.Mean.Blue,0.007650406186979231,-0.038762542104417395
12,X.ConvexPerimeter,0.007498736094526247,0.05584955896527013
13,Mean.Green,0.007383810294002584,-0.028101940362472256
14,Sqrt.Mean.Green,0.007178584704854242,-0.028093877570508026
